x y
100 1.306000
200 3.150000
300 10.164000
400 17.084000
500 28.388000
600 34.121000
700 41.882000
800 50.258000
900 57.908000
1000 66.683000
1100 73.727000
1200 83.405000
1300 95.290000
1400 100.888000
1500 108.553000
1600 119.664000
1700 126.255000
1800 135.570000
1900 148.022000
2000 157.121000
2100 174.592000
2200 184.582000
2300 191.871000
2400 202.070000
2500 208.057000
2600 215.106000
2700 230.754000
2800 233.823000
2900 245.349000
3000 263.454000
3100 269.979000
3200 282.545000
3300 289.092000
3400 301.609000
3500 319.025000
3600 330.349000
3700 345.503000
3800 343.585000
3900 377.936000
4000 365.514000
4100 383.376000
4200 394.194000
4300 394.390000
4400 408.511000
4500 424.324000
4600 424.955000
4700 444.000000
4800 462.529000
4900 474.780000
5000 480.722000
5100 498.041000
5200 507.934000
5300 518.093000
5400 522.976000
5500 535.104000
5600 555.905000
5700 575.345000
5800 580.274000
5900 584.677000
6000 608.743000
6100 613.799000
6200 641.180000
6300 639.596000
6400 654.427000
6500 686.993000
6600 685.105000
6700 693.599000
6800 703.320000
6900 710.197000
7000 739.108000
7100 740.332000
7200 753.687000
7300 763.641000
7400 777.206000
7500 802.261000
7600 831.893000
7700 811.073000
7800 826.530000
7900 851.366000
8000 859.290000
8100 850.178000
8200 887.742000
8300 879.675000
8400 912.806000
8500 938.532000
8600 959.620000
8700 976.661000
8800 957.157000
8900 975.061000
9000 1001.645000
9100 1012.336000
9200 1062.599000
9300 1056.784000
9400 1048.595000
9500 1061.964000
9600 1071.235000
9700 1089.335000
9800 1090.425000
9900 1105.527000
10000 1149.884000
10100 1137.921000
10200 1166.932000
10300 1186.789000
10400 1185.508000
10500 1211.618000
10600 1213.865000
10700 1238.115000
10800 1252.846000
10900 1233.955000
11000 1295.180000
11100 1294.819000
11200 1271.351000
11300 1340.290000
11400 1333.214000
11500 1327.314000
11600 1379.830000
11700 1391.263000
11800 1413.423000
11900 1418.506000
12000 1421.460000
12100 1457.665000
12200 1449.559000
12300 1482.020000
12400 1493.357000
12500 1550.341000
12600 1533.175000
12700 1530.044000
12800 1552.616000
12900 1565.935000
13000 1593.635000
13100 1618.743000
13200 1662.393000
13300 1703.407000
13400 1640.721000
13500 1685.687000
13600 1702.634000
13700 1701.161000
13800 1736.892000
13900 1746.330000
14000 1776.483000
14100 1783.572000
14200 1762.461000
14300 1835.732000
14400 1851.170000
14500 1820.552000
14600 1855.065000
14700 1889.042000
14800 1881.052000
14900 1865.388000
15000 1909.003000
15100 1943.766000
15200 1944.382000
15300 1989.450000
15400 1994.148000
15500 1997.997000
15600 2015.477000
15700 2058.115000
15800 2061.270000
15900 2065.354000
16000 2087.435000
16100 2079.691000
16200 2167.401000
16300 2133.597000
16400 2145.601000
16500 2168.708000
16600 2225.671000
16700 2226.619000
16800 2229.606000
16900 2240.747000
17000 2321.687000
17100 2263.859000
17200 2297.880000
17300 2343.742000
17400 2304.494000
17500 2310.791000
17600 2340.380000
17700 2402.171000
17800 2383.464000
17900 2423.671000
18000 2399.376000
18100 2434.065000
18200 2451.050000
18300 2467.349000
18400 2549.128000
18500 2543.990000
18600 2552.833000
18700 2507.380000
18800 2577.149000
18900 2631.494000
19000 2609.605000
19100 2627.329000
19200 2676.458000
19300 2638.571000
19400 2649.890000
19500 2716.026000
19600 2674.643000
19700 2711.918000
19800 2774.435000
19900 2758.342000
20000 2752.073000
20100 2787.652000
20200 2862.513000
20300 2885.158000
20400 2887.979000
20500 2904.099000
20600 2913.568000
20700 2903.243000
20800 2993.711000
20900 2973.511000
21000 2959.140000
21100 3062.943000
21200 2996.515000
21300 3029.719000
21400 3066.088000
21500 3077.711000
21600 3098.676000
21700 3119.172000
21800 3094.153000
21900 3157.961000
22000 3175.568000
22100 3195.353000
22200 3269.672000
22300 3236.903000
22400 3285.818000
22500 3297.285000
22600 3293.619000
22700 3310.940000
22800 3360.169000
22900 3388.523000
23000 3332.897000
23100 3358.695000
23200 3376.701000
23300 3444.000000
23400 3436.830000
23500 3404.051000
23600 3426.349000
23700 3456.694000
23800 3508.953000
23900 3558.086000
24000 3553.447000
24100 3593.835000
24200 3573.195000
24300 3621.061000
24400 3547.174000
24500 3642.877000
24600 3683.997000
24700 3662.794000
24800 3734.430000
24900 3746.207000
25000 3772.415000
25100 3780.798000
25200 3750.829000
25300 3823.864000
25400 3876.821000
25500 3818.217000
25600 3904.580000
25700 3925.361000
25800 3930.103000
25900 3869.062000
26000 3956.278000
26100 3981.279000
26200 4018.403000
