x y
10 192.410000
20 446.240000
30 1149.030000
40 1713.170000
50 2228.900000
60 3162.710000
70 4267.310000
80 6220.070000
90 7229.390000
100 8757.920000
110 10565.110000
120 12512.230000
130 14608.470000
140 17182.730000
150 19360.780000
160 22008.490000
170 24780.630000
180 27773.880000
190 30921.860000
200 35652.540000
210 37684.270000
220 42600.340000
230 45372.950000
240 49209.900000
250 53484.990000
260 57991.710000
270 63308.340000
280 69003.410000
290 72938.410000
300 77860.550000
310 85045.390000
320 87972.260000
330 93177.910000
340 100392.810000
350 105268.110000
360 111608.890000
370 117459.350000
380 124289.520000
390 130885.030000
400 137582.990000
410 143844.620000
420 151822.170000
430 159216.790000
440 166206.000000
450 174875.500000
460 180584.990000
470 190319.980000
480 199347.940000
490 205888.070000
500 213806.210000
510 223354.980000
520 231774.080000
530 239562.380000
540 249602.820000
550 258520.830000
560 270867.100000
570 277362.650000
580 288387.690000
590 296444.360000
600 308375.110000
610 316856.940000
620 330620.200000
630 342221.520000
640 351393.490000
650 362935.350000
660 375504.120000
670 384191.180000
680 396432.250000
690 408301.590000
700 418382.930000
710 430986.420000
720 444106.430000
730 455163.870000
740 469245.940000
750 482243.980000
760 496075.680000
770 506786.610000
780 520234.970000
790 532849.520000
800 546060.220000
810 560127.210000
820 575470.660000
830 588937.720000
840 602921.320000
850 617707.320000
860 631907.530000
870 647372.380000
880 659257.830000
890 676508.220000
900 691407.430000
910 706947.800000
920 722721.210000
930 742138.590000
940 753497.330000
950 770041.540000
960 786681.690000
970 801933.470000
980 819577.370000
990 837910.490000
1000 858265.770000
1010 870194.860000
1020 886087.590000
1030 906538.850000
1040 925149.180000
1050 941197.480000
1060 959685.310000
1070 976894.390000
1080 995766.840000
1090 1013995.350000
1100 1032103.890000
1110 1049790.300000
1120 1070189.480000
1130 1089990.880000
1140 1108404.270000
1150 1127520.600000
1160 1147553.790000
1170 1166855.170000
1180 1186631.800000
1190 1207265.830000
1200 1226927.340000
1210 1246857.630000
1220 1271149.640000
1230 1288357.080000
1240 1311639.700000
1250 1332129.340000
1260 1357132.440000
1270 1373238.390000
1280 1394370.520000
1290 1419058.940000
1300 1439697.800000
1310 1460671.110000
1320 1486642.770000
1330 1505596.760000
1340 1572387.210000
1350 1602582.130000
1360 1597295.530000
1370 1612591.940000
1380 1624900.590000
1390 1647751.700000
1400 1671443.030000
1410 1695835.840000
1420 1716551.960000
1430 1741963.150000
1440 1766116.720000
1450 1792494.380000
1460 1818097.430000
1470 1841533.570000
1480 1864923.580000
1490 1893288.780000
1500 1915938.780000
1510 1941032.650000
1520 1967088.920000
1530 1993182.990000
1540 2018441.490000
1550 2048222.590000
1560 2071637.360000
1570 2096904.840000
1580 2127198.500000
1590 2152319.110000
1600 2180156.620000
1610 2211853.650000
1620 2232972.000000
1630 2262547.370000
1640 2303832.580000
1650 2319422.260000
1660 2344785.160000
1670 2372693.670000
1680 2401058.410000
1690 2431097.760000
1700 2459664.330000
1710 2488207.530000
1720 2516824.820000
1730 2547833.600000
1740 2576915.570000
1750 2605215.500000
1760 2636134.440000
1770 2667951.920000
1780 2695200.070000
1790 2727584.080000
1800 2758582.550000
1810 2788106.190000
1820 2817682.400000
1830 2852532.980000
1840 2882220.080000
1850 2913400.540000
1860 2946092.110000
1870 2975827.090000
1880 3010064.500000
1890 3048562.500000
1900 3071347.600000
1910 3104787.230000
1920 3134698.450000
1930 3168889.640000
1940 3201969.190000
1950 3234897.680000
1960 3273691.870000
1970 3305943.030000
1980 3340978.120000
1990 3804650.190000
2000 3405806.170000
2010 3438241.620000
2020 3471726.640000
2030 3505599.930000
2040 3542332.360000
2050 3578108.360000
2060 3611530.630000
2070 3649756.870000
2080 3680885.080000
2090 3717787.640000
2100 3753655.640000
2110 3795416.600000
2120 3824787.050000
2130 3864721.320000
2140 3895053.740000
2150 3935010.300000
2160 3967143.840000
2170 4006921.230000
2180 4042401.540000
2190 4083259.310000
2200 4120248.760000
2210 4178934.230000
2220 4196881.600000
2230 4233687.290000
2240 4272001.200000
2250 4310462.770000
2260 4345972.220000
2270 4383859.510000
2280 4425090.150000
2290 4461258.930000
2300 4497510.270000
2310 4992924.260000
2320 4580710.020000
2330 4622901.920000
2340 4663975.730000
2350 4733740.380000
2360 4831393.490000
2370 4804110.870000
2380 4831469.760000
2390 4869408.430000
2400 4902058.750000
2410 4944236.460000
2420 5050017.160000
2430 5065058.020000
2440 5103349.120000
2450 5114467.400000
2460 5159117.610000
2470 5200724.690000
2480 5241223.750000
2490 5276614.960000
2500 5316437.380000
2510 5361492.060000
2520 5407452.450000
2530 5451863.350000
2540 5494235.730000
2550 5543260.500000
2560 5579095.010000
2570 5624360.870000
2580 5666677.330000
2590 5711396.810000
2600 5756890.490000
2610 5805902.300000
2620 5850877.270000
2630 5894218.440000
2640 5944621.000000
2650 5974632.910000
2660 6024287.920000
2670 6069934.880000
2680 6111931.700000
2690 6161691.480000
2700 6207414.430000
2710 6256972.990000
2720 6293848.020000
2730 6377175.020000
2740 6409718.220000
2750 6601409.100000
2760 6481390.060000
2770 6531520.850000
2780 6576174.930000
2790 6620480.920000
2800 6672636.990000
2810 6716482.800000
2820 6769905.060000
2830 6809983.730000
2840 6862930.380000
2850 6940224.370000
2860 7088112.410000
2870 7156349.750000
2880 7204899.100000
2890 7272906.680000
2900 7279824.250000
2910 7275495.770000
2920 7325302.490000
2930 7432640.780000
2940 7474722.670000
2950 7459264.890000
2960 7506105.430000
2970 7517009.870000
2980 7558391.220000
2990 7607259.500000
