x y
10 259.790000
20 513.600000
30 860.870000
40 2111.720000
50 1806.290000
60 2367.940000
70 3224.730000
80 4120.210000
90 3728.940000
100 6281.300000
110 8776.290000
120 8532.560000
130 9741.800000
140 11097.220000
150 12833.720000
160 14097.530000
170 16178.890000
180 17229.550000
190 19125.030000
200 20542.890000
210 22458.230000
220 25495.540000
230 28079.070000
240 29870.020000
250 31035.900000
260 33293.880000
270 36097.880000
280 37821.090000
290 40781.360000
300 44358.960000
310 47924.180000
320 49126.190000
330 52535.310000
340 54731.090000
350 59472.060000
360 62033.150000
370 64130.500000
380 67764.120000
390 70762.570000
400 74668.970000
410 78530.010000
420 81816.420000
430 85398.340000
440 88822.750000
450 92750.390000
460 96893.990000
470 101031.780000
480 104891.050000
490 110013.480000
500 112647.070000
510 117504.560000
520 121720.890000
530 126052.860000
540 131039.370000
550 139383.520000
560 140268.120000
570 145179.760000
580 150141.900000
590 156526.330000
600 160142.320000
610 165669.630000
620 170221.640000
630 177216.390000
640 180859.760000
650 186862.370000
660 192790.440000
670 199414.460000
680 204014.470000
690 209353.690000
700 217269.940000
710 228154.320000
720 228873.970000
730 234026.230000
740 239129.990000
750 246759.730000
760 253261.130000
770 259419.750000
780 264808.820000
790 272853.310000
800 277529.360000
810 286581.170000
820 295287.790000
830 299964.800000
840 308172.550000
850 313750.120000
860 322466.580000
870 330248.030000
880 336114.870000
890 344080.310000
900 349823.480000
910 358756.160000
920 368934.510000
930 372924.160000
940 383122.520000
950 392067.090000
960 397919.110000
970 406771.910000
980 413731.770000
990 425248.070000
1000 431198.410000
1010 439182.220000
1020 446969.840000
1030 455316.540000
1040 464456.270000
1050 474886.680000
1060 482568.250000
1070 496056.100000
1080 504715.070000
1090 508511.220000
1100 517811.680000
1110 528103.920000
1120 538047.110000
1130 545238.610000
1140 555809.770000
1150 567796.870000
1160 613581.650000
1170 589106.580000
1180 595865.650000
1190 604912.660000
1200 615850.750000
1210 638335.010000
1220 671943.090000
1230 667845.710000
1240 656122.360000
1250 665151.990000
1260 672920.820000
1270 687380.420000
1280 696764.180000
1290 706972.240000
1300 717931.320000
1310 728689.240000
1320 738712.960000
1330 750900.150000
1340 759642.860000
1350 771884.190000
1360 783768.940000
1370 797628.450000
1380 807688.340000
1390 821741.820000
1400 830147.510000
1410 847142.470000
1420 855854.470000
1430 874999.110000
1440 882048.420000
1450 889024.300000
1460 900295.890000
1470 911190.770000
1480 929494.330000
1490 936480.820000
1500 948036.190000
1510 963991.370000
1520 974839.840000
1530 987501.310000
1540 999572.530000
1550 1012923.500000
1560 1022936.650000
1570 1035900.910000
1580 1050813.420000
1590 1060823.470000
1600 1077242.400000
1610 1088171.370000
1620 1100390.280000
1630 1115718.380000
1640 1157736.250000
1650 1147375.030000
1660 1159854.280000
1670 1170243.540000
1680 1185730.520000
1690 1196206.910000
1700 1213781.990000
1710 1229102.090000
1720 1242094.350000
1730 1254798.050000
1740 1268817.430000
1750 1288554.260000
1760 1300081.660000
1770 1320250.190000
1780 1326345.510000
1790 1344544.140000
1800 1364592.750000
1810 1371768.660000
1820 1387525.050000
1830 1402135.470000
1840 1419513.750000
1850 1432783.570000
1860 1450645.470000
1870 1461551.550000
1880 1476160.740000
1890 1497101.300000
1900 1507315.810000
1910 1525134.130000
1920 1543632.740000
1930 1555268.360000
1940 1570365.240000
1950 1600096.170000
1960 1610309.060000
1970 1618623.520000
1980 1639368.870000
1990 1654008.180000
2000 1668464.660000
2010 1687261.260000
2020 1700110.580000
2030 1719118.590000
2040 1736579.860000
2050 1750739.290000
2060 1774854.180000
2070 1786594.550000
2080 1800629.890000
2090 1821751.730000
2100 1856840.220000
2110 1855347.350000
2120 1871601.690000
2130 1888873.990000
2140 1907224.190000
2150 1932342.650000
2160 1939810.630000
2170 1962285.880000
2180 1977058.410000
2190 2001114.580000
2200 2038129.660000
2210 2033838.900000
2220 2049052.960000
2230 2073738.940000
2240 2093008.060000
2250 2104211.400000
2260 2120913.000000
2270 2144357.670000
2280 2164787.370000
2290 2177687.050000
2300 2203027.610000
2310 2219769.830000
2320 2231275.600000
2330 2254297.430000
2340 2277750.890000
2350 2291346.400000
2360 2310664.300000
2370 2332686.330000
2380 2360094.440000
2390 2368625.650000
2400 2390968.490000
2410 2418340.710000
2420 2432786.120000
2430 2453432.980000
2440 2479218.460000
2450 2487647.240000
2460 2507893.010000
2470 2531101.960000
2480 2552841.190000
2490 2571431.970000
2500 2594323.150000
2510 2610387.380000
2520 2636370.970000
2530 2668600.040000
2540 2672890.670000
2550 2696708.700000
2560 2718074.960000
2570 2739858.370000
2580 2755852.710000
2590 2792140.270000
2600 2803219.990000
2610 2821892.060000
2620 2852925.920000
2630 2863882.250000
2640 2885820.320000
2650 2917405.110000
2660 2929347.350000
2670 2958193.120000
2680 2971747.940000
2690 3005428.530000
2700 3016578.510000
2710 3038688.860000
2720 3058271.950000
2730 3084910.850000
2740 3108050.870000
2750 3132669.750000
2760 3196693.000000
2770 3174523.410000
2780 3195346.380000
2790 3457080.370000
2800 3238041.400000
2810 3265084.500000
2820 3289776.030000
2830 3371348.160000
2840 3338493.260000
2850 3360097.090000
2860 3379209.130000
2870 3419980.350000
2880 3428158.410000
2890 3450218.970000
2900 3471420.680000
2910 3497089.800000
2920 3533161.280000
2930 3548791.210000
2940 3570483.290000
2950 3595327.850000
2960 3671910.540000
2970 3774168.490000
2980 3811777.570000
2990 3877027.570000
