x y
10 0.192
20 0.446
30 1.149
40 1.713
50 2.228
60 3.162
70 4.267
80 6.220
90 7.229
100 8.757
110 10.565
120 12.512
130 14.608
140 17.182
150 19.360
160 22.008
170 24.780
180 27.773
190 30.921
200 35.652
210 37.684
220 42.600
230 45.372
240 49.209
250 53.484
260 57.991
270 63.308
280 69.003
290 72.938
300 77.860
310 85.045
320 87.972
330 93.177
340 100.392
350 105.268
360 111.608
370 117.459
380 124.289
390 130.885
400 137.582
410 143.844
420 151.822
430 159.216
440 166.206
450 174.875
460 180.584
470 190.319
480 199.347
490 205.888
500 213.806
510 223.354
520 231.774
530 239.562
540 249.602
550 258.520
560 270.867
570 277.362
580 288.387
590 296.444
600 308.375
610 316.856
620 330.620
630 342.221
640 351.393
650 362.935
660 375.504
670 384.191
680 396.432
690 408.301
700 418.382
710 430.986
720 444.106
730 455.163
740 469.245
750 482.243
760 496.075
770 506.786
780 520.234
790 532.849
800 546.060
810 560.127
820 575.470
830 588.937
840 602.921
850 617.707
860 631.907
870 647.372
880 659.257
890 676.508
900 691.407
910 706.947
920 722.721
930 742.138
940 753.497
950 770.041
960 786.681
970 801.933
980 819.577
990 837.910
1000 858.265
1010 870.194
1020 886.087
1030 906.538
1040 925.149
1050 941.197
1060 959.685
1070 976.894
1080 995.766
1090 1013.995
1100 1032.103
1110 1049.790
1120 1070.189
1130 1089.990
1140 1108.404
1150 1127.520
1160 1147.553
1170 1166.855
1180 1186.631
1190 1207.265
1200 1226.927
1210 1246.857
1220 1271.149
1230 1288.357
1240 1311.639
1250 1332.129
1260 1357.132
1270 1373.238
1280 1394.370
1290 1419.058
1300 1439.697
1310 1460.671
1320 1486.642
1330 1505.596
1340 1572.387
1350 1602.582
1360 1597.295
1370 1612.591
1380 1624.900
1390 1647.751
1400 1671.443
1410 1695.835
1420 1716.551
1430 1741.963
1440 1766.116
1450 1792.494
1460 1818.097
1470 1841.533
1480 1864.923
1490 1893.288
1500 1915.938
1510 1941.032
1520 1967.088
1530 1993.182
1540 2018.441
1550 2048.222
1560 2071.637
1570 2096.904
1580 2127.198
1590 2152.319
1600 2180.156
1610 2211.853
1620 2232.972
1630 2262.547
1640 2303.832
1650 2319.422
1660 2344.785
1670 2372.693
1680 2401.058
1690 2431.097
1700 2459.664
1710 2488.207
1720 2516.824
1730 2547.833
1740 2576.915
1750 2605.215
1760 2636.134
1770 2667.951
1780 2695.200
1790 2727.584
1800 2758.582
1810 2788.106
1820 2817.682
1830 2852.532
1840 2882.220
1850 2913.400
1860 2946.092
1870 2975.827
1880 3010.064
1890 3048.562
1900 3071.347
1910 3104.787
1920 3134.698
1930 3168.889
1940 3201.969
1950 3234.897
1960 3273.691
1970 3305.943
1980 3340.978
1990 3804.650
2000 3405.806
2010 3438.241
2020 3471.726
2030 3505.599
2040 3542.332
2050 3578.108
2060 3611.530
2070 3649.756
2080 3680.885
2090 3717.787
2100 3753.655
2110 3795.416
2120 3824.787
2130 3864.721
2140 3895.053
2150 3935.010
2160 3967.143
2170 4006.921
2180 4042.401
2190 4083.259
2200 4120.248
2210 4178.934
2220 4196.881
2230 4233.687
2240 4272.001
2250 4310.462
2260 4345.972
2270 4383.859
2280 4425.090
2290 4461.258
2300 4497.510
2310 4992.924
2320 4580.710
2330 4622.901
2340 4663.975
2350 4733.740
2360 4831.393
2370 4804.110
2380 4831.469
2390 4869.408
2400 4902.058
2410 4944.236
2420 5050.017
2430 5065.058
2440 5103.349
2450 5114.467
2460 5159.117
2470 5200.724
2480 5241.223
2490 5276.614
2500 5316.437
2510 5361.492
2520 5407.452
2530 5451.863
2540 5494.235
2550 5543.260
2560 5579.095
2570 5624.360
2580 5666.677
2590 5711.396
2600 5756.890
2610 5805.902
2620 5850.877
2630 5894.218
2640 5944.621
2650 5974.632
2660 6024.287
2670 6069.934
2680 6111.931
2690 6161.691
2700 6207.414
2710 6256.972
2720 6293.848
2730 6377.175
2740 6409.718
2750 6601.409
2760 6481.390
2770 6531.520
2780 6576.174
2790 6620.480
2800 6672.636
2810 6716.482
2820 6769.905
2830 6809.983
2840 6862.930
2850 6940.224
2860 7088.112
2870 7156.349
2880 7204.899
2890 7272.906
2900 7279.824
2910 7275.495
2920 7325.302
2930 7432.640
2940 7474.722
2950 7459.264
2960 7506.105
2970 7517.009
2980 7558.391
2990 7607.259 
